,state,customer_lifetime_value,response,coverage,education,effective_to_date,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month,year
2258,California,2004,Yes,Basic,College,2011-02-22,Unemployed,F,0,Suburban,Divorced,66,16.0,35,4.0,1,Corporate Auto,Corporate L3,Offer1,Branch,317,Four-Door Car,Small,Automatic,February,2011
2259,Arizona,8630,No,Premium,College,2011-01-02,Employed,M,24065,Suburban,Divorced,111,30.0,1,0.0,5,Corporate Auto,Corporate L2,Offer1,Branch,533,Four-Door Car,Medsize,Manual,January,2011
2260,California,7705,No,Basic,High School or Below,2011-02-24,Employed,M,30366,Suburban,Single,101,25.0,13,2.0,3,Personal Auto,Personal L2,Offer1,Branch,485,SUV,Medsize,Manual,February,2011
2261,Oregon,5350,No,Extended,College,2011-01-11,Employed,F,58357,Suburban,Single,137,27.0,76,2.0,1,Personal Auto,Personal L2,Offer2,Call Center,708,Sports Car,Medsize,Automatic,January,2011
2262,California,5931,No,Basic,High School or Below,2011-02-07,Employed,F,56617,Suburban,Married,74,18.0,24,0.0,3,Personal Auto,Personal L2,Offer4,Call Center,355,Four-Door Car,Small,Automatic,February,2011
2263,California,14942,No,Basic,Bachelor,2011-02-05,Disabled,F,22978,Suburban,Married,190,8.0,53,0.0,4,Personal Auto,Personal L3,Offer1,Branch,912,Luxury Car,Medsize,Automatic,February,2011
2264,Oregon,6447,No,Extended,High School or Below,2011-02-07,Employed,F,55037,Suburban,Married,80,20.0,88,1.0,8,Corporate Auto,Corporate L2,Offer3,Agent,482,Four-Door Car,Medsize,Automatic,February,2011
2265,California,8467,No,Extended,Bachelor,2011-01-03,Unemployed,M,0,Suburban,Single,122,2.0,73,0.0,5,Personal Auto,Personal L1,Offer1,Call Center,1100,SUV,Medsize,Automatic,January,2011
2266,Nevada,3697,No,Premium,Bachelor,2011-02-10,Unemployed,M,0,Suburban,Single,113,3.0,91,0.0,1,Personal Auto,Personal L3,Offer1,Agent,814,Two-Door Car,Medsize,Automatic,February,2011
2267,Oregon,6271,No,Extended,College,2011-01-14,Employed,F,94880,Urban,Single,79,18.0,73,3.0,3,Special Auto,Special L2,Offer1,Agent,348,Four-Door Car,Medsize,Manual,January,2011
2268,California,2551,Yes,Basic,Master,2011-01-19,Employed,M,79751,Suburban,Married,63,15.0,67,0.0,1,Personal Auto,Personal L3,Offer3,Web,392,Two-Door Car,Small,Manual,January,2011
2269,Oregon,2644,No,Extended,College,2011-02-04,Unemployed,F,0,Suburban,Single,82,14.0,56,3.0,1,Personal Auto,Personal L3,Offer1,Branch,394,Two-Door Car,Medsize,Manual,February,2011
2270,Arizona,4025,No,Basic,College,2011-02-15,Unemployed,M,0,Suburban,Married,119,29.0,54,2.0,1,Personal Auto,Personal L3,Offer3,Agent,571,SUV,Small,Automatic,February,2011
2271,Oregon,4606,No,Basic,Bachelor,2011-02-27,Unemployed,M,0,Suburban,Single,72,8.0,14,2.0,8,Corporate Auto,Corporate L1,Offer1,Call Center,518,Four-Door Car,Medsize,Automatic,February,2011
2272,Arizona,13467,Yes,Basic,High School or Below,2011-02-23,Disabled,F,11432,Suburban,Married,119,11.0,9,0.0,2,Corporate Auto,Corporate L3,Offer2,Agent,571,SUV,Small,Automatic,February,2011
2273,Arizona,2589,No,Basic,Doctor,2011-02-15,Employed,M,46168,Suburban,Married,65,1.0,7,0.0,1,Personal Auto,Personal L2,Offer2,Agent,312,Four-Door Car,Medsize,Automatic,February,2011
2274,Nevada,8276,No,Premium,College,2011-01-24,Employed,F,48197,Suburban,Single,106,10.0,61,0.0,6,Personal Auto,Personal L2,Offer2,Agent,509,Four-Door Car,Medsize,Manual,January,2011
2275,Oregon,9935,No,Extended,High School or Below,2011-02-27,Employed,F,56379,Suburban,Married,125,0.0,59,1.0,8,Corporate Auto,Corporate L2,Offer1,Agent,600,SUV,Medsize,Manual,February,2011
2276,Oregon,8701,No,Extended,College,2011-02-12,Unemployed,M,0,Suburban,Married,122,8.0,32,0.0,6,Personal Auto,Personal L3,Offer4,Agent,685,SUV,Medsize,Automatic,February,2011
2277,California,17430,No,Basic,Master,2011-01-09,Employed,M,41775,Rural,Married,109,11.0,80,0.0,2,Personal Auto,Personal L3,Offer1,Web,105,Sports Car,Medsize,Automatic,January,2011
2278,Nevada,2735,No,Basic,High School or Below,2011-01-09,Employed,M,92157,Urban,Single,69,19.0,33,0.0,1,Corporate Auto,Corporate L3,Offer2,Branch,270,Two-Door Car,Medsize,Manual,January,2011
2279,California,8265,No,Basic,High School or Below,2011-02-02,Employed,F,42045,Rural,Married,103,7.0,12,0.0,3,Personal Auto,Personal L2,Offer1,Agent,41,SUV,Medsize,Manual,February,2011
2280,Arizona,2854,No,Basic,Doctor,2011-01-19,Employed,F,87455,Urban,Divorced,71,10.0,46,0.0,1,Corporate Auto,Corporate L3,Offer2,Call Center,329,Four-Door Car,Medsize,Automatic,January,2011
2281,Washington,7756,No,Basic,College,2011-02-02,Unemployed,M,0,Suburban,Single,74,24.0,63,0.0,2,Corporate Auto,Corporate L1,Offer1,Agent,533,Two-Door Car,Small,Manual,February,2011
2282,Oregon,4657,No,Basic,College,2011-01-13,Disabled,M,18024,Suburban,Single,65,13.0,1,0.0,3,Personal Auto,Personal L3,Offer1,Agent,312,Two-Door Car,Medsize,Automatic,January,2011
2283,Arizona,5860,No,Basic,Bachelor,2011-01-26,Employed,F,38684,Suburban,Married,74,1.0,22,0.0,6,Personal Auto,Personal L3,Offer3,Branch,377,Two-Door Car,Medsize,Automatic,January,2011
2284,Washington,2638,No,Basic,High School or Below,2011-01-11,Employed,M,54378,Suburban,Married,66,16.0,30,0.0,1,Personal Auto,Personal L2,Offer2,Call Center,317,Four-Door Car,Small,Automatic,January,2011
2285,California,3847,No,Extended,College,2011-02-25,Employed,M,23459,Rural,Married,96,17.0,19,0.0,1,Personal Auto,Personal L3,Offer2,Branch,185,Four-Door Car,Medsize,Manual,February,2011
2286,Arizona,4734,No,Basic,College,2011-01-30,Unemployed,M,0,Suburban,Single,67,7.0,75,0.0,5,Personal Auto,Personal L3,Offer3,Agent,747,Four-Door Car,Medsize,Manual,January,2011
2287,Nevada,8179,No,Premium,Bachelor,2011-02-06,Unemployed,M,0,Suburban,Single,112,17.0,29,0.0,7,Personal Auto,Personal L3,Offer1,Call Center,806,Four-Door Car,Medsize,Manual,February,2011
2288,Nevada,5780,Yes,Basic,High School or Below,2011-02-26,Employed,M,51066,Suburban,Single,74,23.0,0,0.0,8,Personal Auto,Personal L2,Offer2,Call Center,788,Four-Door Car,Medsize,Automatic,February,2011
2289,California,6767,No,Extended,College,2011-02-24,Employed,M,20046,Suburban,Married,87,15.0,59,0.0,3,Personal Auto,Personal L2,Offer3,Web,418,Two-Door Car,Medsize,Manual,February,2011
2290,Oregon,7713,No,Basic,Bachelor,2011-02-20,Employed,M,45506,Suburban,Single,66,16.0,32,2.0,2,Personal Auto,Personal L3,Offer1,Agent,317,Four-Door Car,Medsize,Manual,February,2011
2291,Oregon,8402,No,Extended,Bachelor,2011-01-30,Unemployed,M,0,Suburban,Single,124,15.0,86,0.0,8,Personal Auto,Personal L2,Offer2,Web,595,SUV,Medsize,Manual,January,2011
2292,California,3802,No,Extended,High School or Below,2011-01-02,Employed,F,33043,Suburban,Married,95,15.0,90,0.0,1,Personal Auto,Personal L3,Offer1,Branch,456,Two-Door Car,Medsize,Manual,January,2011
2293,Oregon,3325,No,Extended,High School or Below,2011-01-08,Unemployed,M,0,Suburban,Married,92,13.0,17,0.0,1,Personal Auto,Personal L2,Offer1,Agent,442,Two-Door Car,Medsize,Manual,January,2011
2294,Arizona,2711,No,Extended,College,2011-02-10,Unemployed,M,0,Suburban,Single,76,11.0,38,0.0,1,Corporate Auto,Corporate L3,Offer4,Call Center,547,Two-Door Car,Medsize,Manual,February,2011
2295,Nevada,11244,No,Extended,College,2011-02-25,Employed,M,66146,Urban,Single,96,2.0,38,0.0,2,Personal Auto,Personal L3,Offer4,Call Center,251,Two-Door Car,Medsize,Manual,February,2011
2296,Oregon,2394,Yes,Basic,College,2011-01-31,Unemployed,M,0,Suburban,Single,70,24.0,10,0.0,1,Personal Auto,Personal L3,Offer1,Branch,425,Four-Door Car,Medsize,Manual,January,2011
2297,Arizona,6005,Yes,Extended,High School or Below,2011-01-12,Employed,M,26876,Suburban,Single,76,17.0,72,0.0,8,Personal Auto,Personal L3,Offer1,Agent,365,Four-Door Car,Medsize,Manual,January,2011
2298,Oregon,10927,No,Premium,High School or Below,2011-01-09,Employed,M,29418,Suburban,Married,274,23.0,31,0.0,1,Personal Auto,Personal L2,Offer4,Agent,1973,Luxury SUV,Medsize,Automatic,January,2011
2299,California,33452,No,Extended,Bachelor,2011-02-11,Employed,F,85689,Urban,Married,92,5.0,8,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,238,Four-Door Car,Small,Manual,February,2011
2300,Nevada,25763,No,Basic,Bachelor,2011-01-05,Employed,F,78804,Suburban,Married,71,35.0,93,0.0,2,Personal Auto,Personal L3,Offer3,Agent,390,Four-Door Car,Medsize,Manual,January,2011
2301,Nevada,4931,No,Basic,College,2011-02-25,Unemployed,M,0,Suburban,Single,73,24.0,47,0.0,3,Personal Auto,Personal L3,Offer1,Agent,526,Four-Door Car,Small,Manual,February,2011
2302,Washington,5285,No,Basic,Bachelor,2011-01-24,Employed,M,40783,Suburban,Married,67,13.0,43,1.0,9,Personal Auto,Personal L1,Offer1,Call Center,322,Four-Door Car,Medsize,Automatic,January,2011
2303,Arizona,10359,No,Basic,College,2011-02-12,Employed,M,84583,Urban,Married,65,6.0,50,0.0,2,Corporate Auto,Corporate L1,Offer2,Branch,239,Four-Door Car,Small,Automatic,February,2011
2304,California,12884,No,Premium,Bachelor,2011-02-23,Employed,M,34148,Urban,Married,109,27.0,30,0.0,2,Personal Auto,Personal L2,Offer1,Agent,452,Four-Door Car,Medsize,Automatic,February,2011
2305,California,7201,Yes,Basic,College,2011-01-26,Unemployed,F,0,Suburban,Married,66,16.0,77,0.0,2,Personal Auto,Personal L3,Offer2,Agent,317,Four-Door Car,Medsize,Manual,January,2011
2306,California,3919,Yes,Extended,High School or Below,2011-01-05,Employed,F,66676,Suburban,Married,97,0.0,40,0.0,1,Personal Auto,Personal L1,Offer3,Agent,558,Four-Door Car,Small,Automatic,January,2011
2307,Washington,8287,No,Basic,Bachelor,2011-02-22,Employed,F,40001,Rural,Divorced,70,26.0,7,0.0,2,Personal Auto,Personal L3,Offer1,Branch,143,Four-Door Car,Medsize,Manual,February,2011
2308,California,14980,No,Extended,Bachelor,2011-01-08,Unemployed,F,0,Suburban,Single,222,26.0,50,0.0,8,Personal Auto,Personal L2,Offer1,Branch,1123,Luxury Car,Medsize,Manual,January,2011
2309,California,2782,No,Basic,High School or Below,2011-02-08,Unemployed,F,0,Suburban,Single,74,8.0,13,0.0,1,Personal Auto,Personal L3,Offer4,Web,533,Four-Door Car,Medsize,Manual,February,2011
2310,California,5980,Yes,Extended,High School or Below,2011-02-07,Employed,F,57693,Suburban,Divorced,76,16.0,56,0.0,3,Personal Auto,Personal L2,Offer2,Agent,547,Four-Door Car,Medsize,Automatic,February,2011
2311,Arizona,5062,No,Basic,High School or Below,2011-02-23,Unemployed,M,0,Suburban,Married,68,19.0,16,0.0,8,Personal Auto,Personal L3,Offer3,Call Center,326,Two-Door Car,Medsize,Manual,February,2011
2312,Washington,2129,No,Basic,Bachelor,2011-01-31,Unemployed,F,0,Suburban,Single,65,19.0,54,2.0,1,Personal Auto,Personal L1,Offer1,Agent,312,Four-Door Car,Medsize,Manual,January,2011
2313,Oregon,2538,No,Basic,High School or Below,2011-01-22,Employed,M,25506,Suburban,Married,65,10.0,16,0.0,1,Personal Auto,Personal L3,Offer3,Branch,312,Two-Door Car,Medsize,Manual,January,2011
2314,Oregon,2112,No,Basic,College,2011-01-03,Unemployed,F,0,Suburban,Single,74,5.0,75,4.0,1,Personal Auto,Personal L2,Offer3,Branch,370,Four-Door Car,Large,Manual,January,2011
2315,Washington,3479,No,Premium,High School or Below,2011-01-29,Unemployed,M,0,Suburban,Single,104,13.0,29,0.0,1,Personal Auto,Personal L2,Offer3,Branch,499,Two-Door Car,Medsize,Manual,January,2011
2316,California,4879,No,Basic,Bachelor,2011-02-25,Employed,F,58580,Suburban,Married,61,5.0,53,0.0,3,Personal Auto,Personal L3,Offer1,Agent,293,Four-Door Car,Medsize,Automatic,February,2011
2317,Oregon,9409,No,Basic,Master,2011-02-25,Employed,M,76847,Rural,Single,118,16.0,52,0.0,3,Corporate Auto,Corporate L3,Offer1,Call Center,32,SUV,Medsize,Automatic,February,2011
2318,Oregon,5737,No,Basic,Bachelor,2011-01-19,Employed,F,56455,Suburban,Married,73,17.0,5,2.0,8,Personal Auto,Personal L1,Offer1,Agent,350,Four-Door Car,Small,Manual,January,2011
2319,Washington,5625,No,Basic,College,2011-02-28,Employed,M,97095,Urban,Married,70,4.0,8,0.0,5,Personal Auto,Personal L1,Offer4,Branch,208,Four-Door Car,Large,Automatic,February,2011
2320,California,4556,No,Basic,Bachelor,2011-02-14,Medical Leave,M,25617,Suburban,Divorced,63,15.0,3,0.0,3,Personal Auto,Personal L3,Offer2,Call Center,302,Two-Door Car,Medsize,Automatic,February,2011
2321,Oregon,7213,No,Extended,High School or Below,2011-01-21,Unemployed,M,0,Suburban,Married,97,26.0,25,0.0,3,Corporate Auto,Corporate L2,Offer1,Agent,499,Two-Door Car,Small,Manual,January,2011
2322,California,7868,No,Basic,High School or Below,2011-01-17,Employed,M,57340,Rural,Single,67,7.0,19,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,159,Four-Door Car,Medsize,Automatic,January,2011
2323,Nevada,3965,No,Premium,Bachelor,2011-01-17,Employed,F,60817,Suburban,Single,103,3.0,79,1.0,1,Personal Auto,Personal L2,Offer2,Web,494,Four-Door Car,Medsize,Automatic,January,2011
2324,Washington,2305,No,Basic,High School or Below,2011-02-12,Unemployed,F,0,Suburban,Married,62,14.0,81,0.0,1,Corporate Auto,Corporate L3,Offer1,Call Center,298,Four-Door Car,Medsize,Manual,February,2011
2325,California,2764,No,Basic,Bachelor,2011-01-20,Employed,M,61085,Suburban,Married,70,27.0,34,1.0,1,Personal Auto,Personal L3,Offer2,Branch,336,Two-Door Car,Medsize,Manual,January,2011
2326,California,14697,No,Extended,College,2011-01-29,Employed,M,45345,Suburban,Married,125,0.0,73,0.0,2,Personal Auto,Personal L1,Offer1,Agent,600,SUV,Medsize,Manual,January,2011
2327,Oregon,2798,No,Basic,College,2011-01-18,Employed,M,63223,Suburban,Married,71,3.0,72,0.0,1,Personal Auto,Personal L1,Offer3,Web,398,Two-Door Car,Small,Automatic,January,2011
2328,Oregon,8106,No,Basic,Bachelor,2011-02-24,Medical Leave,M,20815,Suburban,Married,110,7.0,35,0.0,9,Personal Auto,Personal L3,Offer1,Agent,528,SUV,Medsize,Automatic,February,2011
2329,California,9284,No,Extended,High School or Below,2011-01-16,Employed,M,24314,Suburban,Married,235,20.0,60,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,1128,Luxury SUV,Medsize,Automatic,January,2011
2330,Arizona,2142,No,Basic,Bachelor,2011-02-08,Unemployed,M,0,Suburban,Married,61,5.0,90,0.0,1,Personal Auto,Personal L2,Offer4,Call Center,437,Four-Door Car,Medsize,Automatic,February,2011
2331,Nevada,33473,Yes,Basic,Bachelor,2011-01-11,Employed,F,33190,Suburban,Divorced,106,18.0,95,0.0,2,Personal Auto,Personal L2,Offer1,Web,509,SUV,Medsize,Manual,January,2011
2332,California,4738,No,Premium,Bachelor,2011-01-14,Employed,M,63977,Rural,Married,118,10.0,78,0.0,1,Personal Auto,Personal L3,Offer1,Agent,33,Four-Door Car,Medsize,Manual,January,2011
2333,Arizona,5927,Yes,Extended,College,2011-01-25,Retired,M,23091,Suburban,Married,96,28.0,90,5.0,5,Personal Auto,Personal L3,Offer1,Agent,461,Four-Door Car,Medsize,Automatic,January,2011
2334,Oregon,2638,No,Basic,College,2011-01-26,Employed,F,63422,Suburban,Married,66,8.0,68,0.0,1,Personal Auto,Personal L1,Offer2,Call Center,356,Four-Door Car,Small,Automatic,January,2011
2335,Oregon,10629,No,Extended,Doctor,2011-02-02,Employed,M,56598,Rural,Married,88,29.0,29,0.0,2,Personal Auto,Personal L2,Offer4,Web,93,Four-Door Car,Medsize,Manual,February,2011
2336,Oregon,3155,No,Extended,Bachelor,2011-01-08,Employed,M,36706,Suburban,Married,80,19.0,67,0.0,1,Personal Auto,Personal L3,Offer1,Agent,488,Four-Door Car,Medsize,Manual,January,2011
2337,Washington,6265,Yes,Extended,Doctor,2011-01-13,Unemployed,F,0,Suburban,Married,84,18.0,25,1.0,4,Personal Auto,Personal L3,Offer1,Agent,481,Four-Door Car,Medsize,Manual,January,2011
2338,Washington,9825,No,Extended,High School or Below,2011-01-26,Employed,F,23923,Suburban,Married,82,29.0,61,1.0,2,Personal Auto,Personal L3,Offer3,Call Center,394,Four-Door Car,Medsize,Manual,January,2011
2339,Arizona,7164,No,Extended,College,2011-02-05,Employed,F,46623,Suburban,Divorced,91,1.0,53,0.0,3,Corporate Auto,Corporate L3,Offer3,Call Center,437,Four-Door Car,Small,Manual,February,2011
2340,Arizona,5765,No,Basic,Bachelor,2011-01-25,Employed,M,22134,Suburban,Married,72,13.0,81,0.0,3,Corporate Auto,Corporate L2,Offer1,Call Center,446,Four-Door Car,Medsize,Automatic,January,2011
2341,Nevada,8509,No,Basic,Bachelor,2011-01-12,Employed,F,56481,Urban,Married,106,7.0,17,0.0,3,Personal Auto,Personal L1,Offer1,Branch,273,SUV,Medsize,Automatic,January,2011
2342,California,8565,Yes,Basic,High School or Below,2011-02-17,Employed,M,95697,Rural,Married,107,29.0,29,0.0,9,Personal Auto,Personal L2,Offer2,Agent,178,Sports Car,Medsize,Automatic,February,2011
2343,Oregon,8635,No,Basic,Bachelor,2011-02-15,Medical Leave,M,13129,Suburban,Married,117,15.0,93,0.0,6,Personal Auto,Personal L3,Offer1,Web,701,SUV,Medsize,Automatic,February,2011
2344,Arizona,5789,No,Basic,Bachelor,2011-02-12,Employed,F,75845,Rural,Married,72,2.0,71,0.0,6,Personal Auto,Personal L2,Offer1,Agent,74,Four-Door Car,Medsize,Automatic,February,2011
2345,Nevada,7372,No,Basic,Bachelor,2011-01-24,Employed,F,74335,Urban,Single,187,3.0,4,0.0,1,Corporate Auto,Corporate L1,Offer3,Agent,896,Luxury Car,Small,Manual,January,2011
2346,Arizona,8510,Yes,Basic,Master,2011-01-31,Disabled,M,26057,Suburban,Divorced,74,3.0,63,0.0,2,Corporate Auto,Corporate L3,Offer1,Call Center,524,Four-Door Car,Small,Manual,January,2011
2347,Oregon,4363,No,Basic,Bachelor,2011-01-11,Unemployed,M,0,Suburban,Single,65,11.0,46,0.0,3,Personal Auto,Personal L3,Offer3,Web,468,Four-Door Car,Medsize,Manual,January,2011
2348,Arizona,7201,Yes,Basic,College,2011-01-26,Unemployed,F,0,Suburban,Married,66,16.0,77,0.0,2,Personal Auto,Personal L3,Offer2,Agent,317,Four-Door Car,Medsize,Manual,January,2011
2349,California,3245,No,Extended,Bachelor,2011-02-27,Employed,M,46435,Urban,Married,82,13.0,20,0.0,1,Corporate Auto,Corporate L3,Offer2,Branch,350,Two-Door Car,Medsize,Manual,February,2011
2350,California,4345,No,Basic,Bachelor,2011-01-22,Unemployed,F,0,Suburban,Single,63,21.0,27,0.0,4,Corporate Auto,Corporate L1,Offer3,Branch,463,Four-Door Car,Small,Manual,January,2011
2351,California,7755,No,Premium,Master,2011-01-15,Unemployed,M,0,Suburban,Single,110,7.0,90,0.0,5,Personal Auto,Personal L3,Offer1,Branch,528,Four-Door Car,Medsize,Automatic,January,2011
2352,Oregon,6846,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,0,Suburban,Divorced,95,13.0,20,0.0,5,Personal Auto,Personal L2,Offer1,Call Center,456,Two-Door Car,Large,Automatic,January,2011
2353,Oregon,3342,No,Extended,College,2011-01-27,Unemployed,F,0,Suburban,Married,91,8.0,60,0.0,1,Personal Auto,Personal L2,Offer1,Agent,437,Four-Door Car,Medsize,Manual,January,2011
2354,Oregon,18768,No,Basic,High School or Below,2011-01-19,Unemployed,M,0,Suburban,Single,111,13.0,55,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,900,Sports Car,Medsize,Manual,January,2011
2355,Washington,2433,No,Basic,Doctor,2011-01-08,Employed,F,28519,Rural,Married,61,9.0,94,0.0,1,Personal Auto,Personal L2,Offer2,Agent,112,Four-Door Car,Medsize,Manual,January,2011
2356,Oregon,16173,No,Basic,College,2011-01-30,Employed,F,64388,Rural,Single,68,9.0,46,0.0,2,Personal Auto,Personal L3,Offer2,Branch,12,Four-Door Car,Medsize,Manual,January,2011
2357,California,6265,Yes,Extended,Doctor,2011-01-13,Unemployed,F,0,Suburban,Married,84,15.0,25,0.0,4,Personal Auto,Personal L2,Offer1,Agent,481,Four-Door Car,Medsize,Manual,January,2011
2358,Oregon,5298,No,Basic,Bachelor,2011-02-09,Employed,F,66203,Rural,Married,66,15.0,38,0.0,8,Personal Auto,Personal L3,Offer2,Call Center,131,Four-Door Car,Medsize,Automatic,February,2011
2359,Washington,3459,No,Extended,Bachelor,2011-01-07,Unemployed,M,0,Suburban,Married,96,6.0,8,0.0,1,Corporate Auto,Corporate L3,Offer3,Web,461,Four-Door Car,Medsize,Manual,January,2011
2360,Nevada,2922,No,Extended,Bachelor,2011-01-19,Unemployed,M,0,Suburban,Single,80,10.0,81,0.0,1,Corporate Auto,Corporate L2,Offer1,Branch,739,Four-Door Car,Medsize,Automatic,January,2011
2361,Arizona,5927,No,Extended,College,2011-01-17,Unemployed,F,0,Suburban,Married,84,19.0,26,2.0,4,Personal Auto,Personal L2,Offer1,Branch,403,Four-Door Car,Medsize,Automatic,January,2011
2362,Oregon,6005,Yes,Extended,High School or Below,2011-01-12,Employed,M,26876,Suburban,Single,76,17.0,72,0.0,8,Personal Auto,Personal L3,Offer1,Agent,365,Four-Door Car,Medsize,Manual,January,2011
2363,Washington,5776,No,Extended,High School or Below,2011-02-25,Unemployed,F,0,Suburban,Single,76,20.0,17,0.0,6,Personal Auto,Personal L1,Offer3,Call Center,785,Two-Door Car,Small,Automatic,February,2011
2364,Oregon,6057,Yes,Extended,Bachelor,2011-02-14,Retired,M,27681,Suburban,Married,83,13.0,62,0.0,9,Corporate Auto,Corporate L3,Offer2,Agent,398,Two-Door Car,Medsize,Manual,February,2011
2365,California,2576,No,Basic,High School or Below,2011-01-22,Medical Leave,M,26854,Suburban,Married,66,31.0,70,0.0,1,Personal Auto,Personal L3,Offer1,Agent,475,Four-Door Car,Small,Automatic,January,2011
2366,California,5182,Yes,Basic,Master,2011-02-03,Employed,F,97131,Suburban,Married,64,15.0,80,0.0,6,Corporate Auto,Corporate L3,Offer2,Agent,307,Four-Door Car,Small,Manual,February,2011
2367,Washington,4762,No,Basic,Master,2011-02-09,Employed,F,36529,Rural,Married,118,6.0,41,0.0,1,Personal Auto,Personal L1,Offer1,Agent,255,SUV,Medsize,Manual,February,2011
2368,California,2582,Yes,Basic,Bachelor,2011-02-14,Employed,F,76731,Urban,Married,64,2.0,68,0.0,1,Personal Auto,Personal L2,Offer2,Agent,201,Four-Door Car,Medsize,Manual,February,2011
2369,Arizona,2617,Yes,Basic,College,2011-02-25,Employed,M,72302,Suburban,Divorced,66,6.0,27,0.0,1,Corporate Auto,Corporate L2,Offer1,Agent,317,Two-Door Car,Medsize,Automatic,February,2011
2370,Arizona,8292,No,Basic,High School or Below,2011-01-17,Employed,F,85132,Urban,Married,106,0.0,60,5.0,3,Personal Auto,Personal L2,Offer1,Web,501,SUV,Medsize,Manual,January,2011
2371,California,10828,No,Extended,College,2011-01-17,Medical Leave,M,11033,Suburban,Married,97,27.0,18,0.0,2,Special Auto,Special L1,Offer1,Branch,511,Two-Door Car,Large,Manual,January,2011
2372,Washington,5225,No,Basic,College,2011-02-24,Employed,F,67423,Urban,Married,65,24.0,0,0.0,9,Corporate Auto,Corporate L3,Offer3,Agent,293,Four-Door Car,Medsize,Automatic,February,2011
2373,Arizona,2694,No,Basic,College,2011-01-18,Employed,M,29038,Rural,Married,69,14.0,61,0.0,1,Personal Auto,Personal L2,Offer2,Branch,56,Four-Door Car,Medsize,Manual,January,2011
2374,Arizona,4214,No,Premium,High School or Below,2011-01-19,Disabled,F,12160,Urban,Married,109,5.0,34,0.0,1,Personal Auto,Personal L1,Offer2,Agent,489,Four-Door Car,Medsize,Automatic,January,2011
2375,Arizona,2436,No,Basic,Bachelor,2011-02-25,Unemployed,M,0,Suburban,Married,67,16.0,92,0.0,1,Personal Auto,Personal L1,Offer3,Branch,399,Four-Door Car,Small,Automatic,February,2011
2376,Arizona,7055,No,Extended,High School or Below,2011-01-23,Unemployed,M,0,Suburban,Single,207,32.0,96,0.0,1,Personal Auto,Personal L3,Offer2,Call Center,1490,Luxury SUV,Medsize,Automatic,January,2011
2377,Arizona,21123,No,Basic,College,2011-02-10,Unemployed,M,0,Suburban,Single,69,15.0,9,0.0,2,Personal Auto,Personal L3,Offer3,Agent,497,Two-Door Car,Medsize,Automatic,February,2011
2378,Oregon,2695,No,Basic,Bachelor,2011-02-01,Employed,F,32720,Suburban,Divorced,67,13.0,12,0.0,1,Personal Auto,Personal L2,Offer3,Branch,322,Four-Door Car,Medsize,Manual,February,2011
2379,California,5674,No,Basic,Bachelor,2011-02-18,Employed,F,26225,Urban,Married,72,18.0,25,1.0,7,Special Auto,Special L2,Offer2,Web,321,Four-Door Car,Medsize,Automatic,February,2011
2380,Arizona,3837,No,Extended,High School or Below,2011-01-01,Medical Leave,M,23051,Suburban,Divorced,99,31.0,86,0.0,1,Personal Auto,Personal L1,Offer1,Agent,475,Two-Door Car,Medsize,Manual,January,2011
2381,Washington,13756,No,Extended,Bachelor,2011-01-02,Medical Leave,M,15340,Suburban,Divorced,121,12.0,47,0.0,2,Corporate Auto,Corporate L2,Offer1,Branch,687,SUV,Medsize,Manual,January,2011
2382,Arizona,2758,No,Basic,High School or Below,2011-01-04,Disabled,M,22158,Suburban,Married,74,8.0,92,0.0,1,Personal Auto,Personal L1,Offer2,Call Center,355,Four-Door Car,Small,Manual,January,2011
2383,California,2773,No,Basic,College,2011-02-28,Employed,F,37038,Rural,Married,71,6.0,97,1.0,1,Corporate Auto,Corporate L3,Offer4,Branch,9,Four-Door Car,Large,Manual,February,2011
2384,Nevada,9049,Yes,Basic,High School or Below,2011-01-24,Unemployed,M,0,Suburban,Married,119,15.0,8,0.0,3,Personal Auto,Personal L1,Offer2,Web,571,Sports Car,Medsize,Manual,January,2011
2385,California,3509,No,Extended,Bachelor,2011-01-23,Employed,M,23629,Suburban,Married,88,15.0,81,0.0,1,Personal Auto,Personal L1,Offer3,Agent,634,Four-Door Car,Small,Automatic,January,2011
2386,California,2619,Yes,Basic,Bachelor,2011-02-05,Employed,M,78618,Urban,Divorced,66,7.0,56,0.0,1,Corporate Auto,Corporate L1,Offer1,Agent,226,Two-Door Car,Medsize,Manual,February,2011
2387,Oregon,8582,No,Basic,High School or Below,2011-01-15,Employed,F,66466,Urban,Married,71,20.0,35,0.0,2,Personal Auto,Personal L3,Offer2,Call Center,293,Four-Door Car,Medsize,Manual,January,2011
2388,Arizona,9114,No,Premium,Bachelor,2011-02-24,Employed,M,85942,Rural,Married,116,16.0,36,2.0,5,Personal Auto,Personal L2,Offer3,Agent,79,Four-Door Car,Medsize,Automatic,February,2011
